iter	Passed	Remaining
0	28	5722
1	46	4569
2	62	4096
3	85	4207
4	104	4059
5	122	3949
6	138	3811
7	154	3701
8	170	3613
9	187	3553
10	203	3491
11	219	3438
12	243	3497
13	260	3460
14	276	3411
15	292	3360
16	305	3293
17	321	3248
18	340	3239
19	356	3208
20	372	3171
21	390	3162
22	406	3131
23	426	3126
24	456	3193
25	479	3205
26	502	3221
27	524	3220
28	541	3193
29	557	3160
30	574	3129
31	592	3111
32	612	3102
33	629	3073
34	645	3044
35	669	3048
36	688	3031
37	707	3014
38	726	2998
39	745	2980
40	768	2980
41	784	2953
42	801	2926
43	816	2895
44	833	2870
45	848	2841
46	865	2816
47	883	2797
48	900	2773
49	922	2767
50	939	2744
51	955	2719
52	969	2688
53	981	2654
54	995	2625
55	1010	2598
56	1022	2565
57	1037	2539
58	1057	2528
59	1077	2515
60	1101	2510
61	1121	2497
62	1147	2494
63	1178	2504
64	1198	2489
65	1233	2503
66	1253	2488
67	1272	2470
68	1293	2455
69	1314	2440
70	1336	2429
71	1356	2410
72	1376	2395
73	1394	2374
74	1416	2361
75	1435	2342
76	1450	2316
77	1467	2295
78	1482	2271
79	1500	2250
80	1523	2238
81	1542	2219
82	1562	2202
83	1582	2185
84	1601	2166
85	1618	2145
86	1633	2121
87	1648	2098
88	1661	2072
89	1675	2047
90	1689	2023
91	1714	2012
92	1741	2003
93	1796	2025
94	1878	2075
95	1904	2063
96	1927	2046
97	1946	2025
98	1969	2008
99	1990	1990
100	2017	1978
101	2039	1959
102	2064	1944
103	2081	1921
104	2104	1903
105	2123	1882
106	2149	1867
107	2169	1848
108	2193	1830
109	2211	1809
110	2236	1792
111	2254	1771
112	2269	1747
113	2283	1722
114	2295	1696
115	2308	1671
116	2322	1647
117	2336	1623
118	2352	1601
119	2367	1578
120	2382	1555
121	2401	1535
122	2429	1520
123	2444	1498
124	2457	1474
125	2472	1451
126	2485	1428
127	2500	1406
128	2516	1385
129	2537	1366
130	2553	1345
131	2567	1322
132	2584	1301
133	2602	1281
134	2623	1263
135	2635	1240
136	2651	1219
137	2663	1196
138	2676	1174
139	2690	1152
140	2704	1131
141	2716	1109
142	2729	1087
143	2744	1067
144	2761	1047
145	2776	1027
146	2793	1007
147	2810	987
148	2836	970
149	2852	950
150	2867	930
151	2880	909
152	2895	889
153	2910	869
154	2927	849
155	2944	830
156	2960	810
157	2975	791
158	2990	771
159	3008	752
160	3031	734
161	3046	714
162	3060	694
163	3073	674
164	3087	654
165	3102	635
166	3118	616
167	3133	596
168	3148	577
169	3165	558
170	3187	540
171	3206	522
172	3231	504
173	3256	486
174	3278	468
175	3296	449
176	3314	430
177	3329	411
178	3345	392
179	3367	374
180	3478	365
181	3546	350
182	3632	337
183	3684	320
184	3820	309
185	3854	290
186	3892	270
187	3921	250
188	3963	230
189	3992	210
190	4014	189
191	4030	167
192	4057	147
193	4075	126
194	4101	105
195	4123	84
196	4156	63
197	4175	42
198	4193	21
199	4215	0
